WARNING: Logging before flag parsing goes to stderr.
W0221 07:19:46.991123 123550689871488 __init__.py:74] TensorFlow version 1.15.0 detected. Last version known to be fully compatible is 1.14.0 .
Loading model models/devatrain_best.mlmodel	✓
94	{ DEVANAGARI VOWEL SIGN AI } - { DEVANAGARI VOWEL SIGN E }
93	{ ट } - { द }
85	{ न } - { त }
83	{ | } - { । }
82	{  } - { DEVANAGARI VOWEL SIGN I }
80	{ | } - {  }
80	{  } - { द }
80	{ स } - {  }
78	{ व } - { च }
77	{ &#39; } - {  }
74	{ ट } - {  }
73	{ त } - { न }
70	{ DEVANAGARI VOWEL SIGN AI } - {  }
70	{ DEVANAGARI SIGN CANDRABINDU } - {  }
67	{ व } - { ब }
65	{ . } - { , }
63	{ DEVANAGARI VOWEL SIGN AU } - { DEVANAGARI VOWEL SIGN O }
62	{ ठ } - {  }
62	{ ब } - {  }
58	{ । } - {  }
57	{ भ } - {  }
56	{ DEVANAGARI VOWEL SIGN O } - { DEVANAGARI VOWEL SIGN AA }
56	{ य } - { व }
53	{ म } - { भ }
53	{ स } - { ख }
52	{ क } - { व }
52	{ स } - { र }
52	{ आ } - { अ }
51	{  } - { ञ }
50	{ न } - { ब }
49	{ ह } - { द }
49	{ ड } - {  }
49	{ य } - { ब }
48	{ ल } - { त }
48	{ DEVANAGARI VOWEL SIGN E } - { DEVANAGARI VOWEL SIGN AI }
46	{ 1 } - { । }
44	{ ढ } - { ड }
43	{ , } - { . }
43	{  } - { त }
43	{ DEVANAGARI VOWEL SIGN UU } - { DEVANAGARI SIGN VIRAMA }
42	{ घ } - { ध }
42	{ ए } - {  }
41	{ थ } - { ध }
41	{ DEVANAGARI VOWEL SIGN E } - { DEVANAGARI SIGN ANUSVARA }
40	{ ह } - {  }
40	{ प } - { य }
40	{  } - { &#39; }
39	{ 1 } - {  }
39	{ / } - {  }
39	{ ऑ } - { औ }
38	{ न } - { व }
38	{  } - { DEVANAGARI VOWEL SIGN VOCALIC R }
38	{ ण } - {  }
38	{ DEVANAGARI VOWEL SIGN CANDRA O } - { DEVANAGARI VOWEL SIGN AA }
37	{ 0 } - { ० }
36	{ - } - {  }
35	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI VOWEL SIGN I }
35	{  } - { य }
35	{ ङ } - {  }
35	{  } - { DEVANAGARI VOWEL SIGN U }
35	{ ख } - { र }
35	{ DEVANAGARI VOWEL SIGN O } - { DEVANAGARI VOWEL SIGN AU }
34	{ DEVANAGARI VOWEL SIGN UU } - { DEVANAGARI VOWEL SIGN VOCALIC R }
34	{ ” } - { &#34; }
34	{ आ } - {  }
33	{ DEVANAGARI SIGN CANDRABINDU } - { DEVANAGARI SIGN ANUSVARA }
33	{ ग } - { न }
33	{  } - { च }
33	{ र } - { स }
33	{  } - { . }
32	{ ञ } - { ज }
32	{ ढ } - { द }
31	{ DEVANAGARI SIGN VISARGA } - { : }
31	{ ग } - { र }
31	{  } - { न }
31	{ : } - {  }
30	{  } - { । }
30	{ DEVANAGARI VOWEL SIGN O } - {  }
29	{ ख } - {  }
29	{ छ } - {  }
29	{ ल } - { न }
29	{  } - { ज }
29	{ थ } - {  }
29	{ DEVANAGARI VOWEL SIGN II } - { DEVANAGARI VOWEL SIGN AU }
28	{ ङ } - { ड }
28	{ द } - { व }
27	{ DEVANAGARI VOWEL SIGN II } - {  }
27	{ DEVANAGARI VOWEL SIGN U } - { DEVANAGARI VOWEL SIGN UU }
27	{ व } - { द }
26	{ घ } - {  }
26	{ ष } - { प }
26	{ ग } - { म }
26	{  } - { ख }
26	{ , } - {  }
26	{  } - { , }
26	{ स } - { त }
24	{ त } - { ल }
24	{ ! } - { । }
24	{ म } - { ग }
24	{ DEVANAGARI VOWEL SIGN E } - { DEVANAGARI VOWEL SIGN I }
24	{  } - { क }
24	{ श } - { र }
24	{ इ } - { द }
23	{ म } - { य }
23	{  } - { DEVANAGARI VOWEL SIGN O }
23	{ घ } - { च }
23	{ ० } - { 0 }
23	{ थ } - { च }
23	{ र } - { ई }
22	{ ज } - { न }
22	{ र } - { न }
22	{ म } - { प }
22	{ २ } - {  }
22	{ DEVANAGARI VOWEL SIGN O } - { DEVANAGARI VOWEL SIGN E }
22	{ DEVANAGARI VOWEL SIGN U } - { DEVANAGARI SIGN VIRAMA }
22	{ “ } - { &#34; }
22	{  } - { थ }
22	{ ड } - { इ }
21	{ ; } - { : }
21	{ व } - { र }
21	{  } - { ड }
21	{ } } - { ) }
21	{ फ } - { क }
21	{ DEVANAGARI VOWEL SIGN II } - { DEVANAGARI VOWEL SIGN O }
21	{ द } - { ड }
20	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI VOWEL SIGN VOCALIC R }
20	{ ड } - { द }
20	{ ह } - { DEVANAGARI SIGN VIRAMA }
20	{ DEVANAGARI VOWEL SIGN VOCALIC R } - { DEVANAGARI SIGN VIRAMA }
20	{  } - { ध }
20	{ श } - { भ }
20	{ ह } - { इ }
20	{ … } - { . }
20	{ ) } - {  }
20	{ श } - { थ }
20	{ &#34; } - { &#39; }
20	{ &#34; } - { “ }
20	{ ज } - { ब }
19	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI VOWEL SIGN AA }
19	{ 2 } - {  }
19	{ ओ } - {  }
19	{ आ } - { औ }
19	{ DEVANAGARI VOWEL SIGN CANDRA O } - { DEVANAGARI VOWEL SIGN O }
19	{ व } - { ध }
19	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI VOWEL SIGN U }
19	{ | } - { / }
18	{ ` } - {  }
18	{ ` } - { &#39; }
18	{  } - { श }
18	{ 7 } - {  }
18	{  } - { DEVANAGARI VOWEL SIGN AI }
18	{ ध } - { घ }
18	{ 0 } - {  }
18	{ DEVANAGARI VOWEL SIGN AU } - {  }
18	{ र } - { ख }
18	{ ज } - { ञ }
17	{ • } - { ॰ }
17	{ DEVANAGARI VOWEL SIGN UU } - { DEVANAGARI VOWEL SIGN U }
17	{ &#34; } - {  }
17	{  } - { ब }
17	{ व } - { न }
17	{ . } - { SPACE }
17	{ 8 } - {  }
17	{ च } - { य }
17	{ DEVANAGARI VOWEL SIGN AA } - { DEVANAGARI VOWEL SIGN O }
17	{ फ } - {  }
17	{ ठ } - { व }
16	{  } - { इ }
16	{ * } - {  }
16	{ थ } - { य }
16	{  } - { ठ }
16	{ DEVANAGARI VOWEL SIGN VOCALIC R } - { DEVANAGARI VOWEL SIGN UU }
16	{ ड } - { ङ }
16	{ ध } - { च }
16	{  } - { DEVANAGARI VOWEL SIGN UU }
16	{ ट } - { र }
16	{ व } - { त }
16	{  } - { | }
16	{  } - { DEVANAGARI SIGN NUKTA }
16	{ ब } - { न }
15	{ च } - { DEVANAGARI SIGN VIRAMA }
15	{ ~ } - { - }
15	{ ब } - { य }
15	{ ] } - {  }
15	{ DEVANAGARI VOWEL SIGN AA } - { DEVANAGARI VOWEL SIGN AU }
15	{ ह } - { ड }
15	{ DEVANAGARI SIGN VIRAMA } - { न }
15	{ व } - { क }
15	{ ल } - { र }
15	{ त } - { ब }
15	{ स } - { न }
15	{ श } - { DEVANAGARI SIGN VIRAMA }
15	{ श } - { ज }
15	{ SPACE } - { DEVANAGARI SIGN ANUSVARA }
14	{ / } - { । }
14	{  } - { म }
14	{ ठ } - { ट }
14	{ ७ } - {  }
14	{ ध } - { व }
14	{ भ } - { श }
14	{ ध } - { श }
14	{ ( } - {  }
14	{ क } - { ब }
14	{ DEVANAGARI VOWEL SIGN CANDRA O } - {  }
14	{ फ } - { प }
14	{  } - { ल }
14	{ DEVANAGARI VOWEL SIGN AA } - { । }
14	{ | } - { ॥ }
14	{ प } - { ष }
14	{ थ } - { व }
14	{ ₹ } - { र }
13	{ DEVANAGARI SIGN ANUSVARA } - { DEVANAGARI VOWEL SIGN E }
13	{ २ } - { १ }
13	{ ऽ } - {  }
13	{  } - { अ }
13	{ . } - { … }
13	{  } - { ष }
13	{  } - { DEVANAGARI SIGN CANDRABINDU }
13	{ ग } - { ब }
13	{ ध } - { द }
13	{ ष } - { व }
13	{ र } - { ग }
13	{ ण } - { र }
13	{ भ } - { म }
13	{ ण } - { ष }
13	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI SIGN ANUSVARA }
13	{ त } - { स }
12	{ क } - { ध }
12	{ र } - { य }
12	{ त } - { व }
12	{ क } - { श }
12	{ क } - { ङ }
12	{ . } - { - }
12	{ 3 } - {  }
12	{ - } - { . }
12	{  } - { DEVANAGARI SIGN VISARGA }
12	{ ष } - { च }
12	{ य } - { थ }
12	{ ; } - {  }
12	{ DEVANAGARI VOWEL SIGN O } - { DEVANAGARI VOWEL SIGN II }
12	{ म } - { स }
11	{ DEVANAGARI SIGN ANUSVARA } - { DEVANAGARI VOWEL SIGN AI }
11	{ य } - { म }
11	{  } - { ग }
11	{ च } - { ब }
11	{ DEVANAGARI VOWEL SIGN AI } - { DEVANAGARI SIGN ANUSVARA }
11	{ भ } - { अ }
11	{ 3 } - { ३ }
11	{ 9 } - {  }
11	{ ओ } - { औ }
11	{ द } - { ट }
11	{ ल } - { स }
11	{ DEVANAGARI VOWEL SIGN AA } - { DEVANAGARI SIGN VIRAMA }
11	{ भ } - { ध }
11	{ [ } - { | }
11	{ च } - { द }
11	{ प } - { म }
11	{ च } - { र }
11	{ DEVANAGARI VOWEL SIGN AA } - { DEVANAGARI VOWEL SIGN CANDRA O }
11	{ इ } - { ड }
11	{ [ } - {  }
11	{ स } - { ल }
11	{ क } - { ऋ }
11	{ ढ } - {  }
11	{ य } - { प }
10	{ DEVANAGARI VOWEL SIGN II } - { DEVANAGARI VOWEL SIGN AA }
10	{ DEVANAGARI SIGN CANDRABINDU } - { DEVANAGARI VOWEL SIGN AI }
10	{ ४ } - {  }
10	{ क } - { र }
10	{ DEVANAGARI VOWEL SIGN I } - { DEVANAGARI VOWEL SIGN E }
10	{ SPACE } - { । }
10	{  } - { स }
10	{ DEVANAGARI SIGN VIRAMA } - { र }
10	{ 5 } - {  }
10	{ क } - { भ }
10	{ द } - { ढ }
10	{ ष } - { ह }
10	{ ङ } - { इ }
10	{ ९ } - { १ }
9	{ न } - { ञ }
9	{ ज } - { च }
9	{ अ } - {  }
9	{ ५ } - {  }
9	{ &#39; } - { &#34; }
9	{ \ } - {  }
9	{ “ } - {  }
9	{ DEVANAGARI SIGN ANUSVARA } - { DEVANAGARI SIGN CANDRABINDU }
9	{  } - { प }
9	{ र } - { DEVANAGARI SIGN VIRAMA }
9	{ ब } - { ष }
9	{ प } - { व }
9	{ औ } - {  }
9	{ द } - { ह }
9	{ प } - { फ }
9	{ श } - { क }
9	{ य } - { क }
9	{ DEVANAGARI VOWEL SIGN AU } - { DEVANAGARI VOWEL SIGN AA }
9	{ “ } - { &#39; }
9	{ ; } - { , }
9	{ ख } - { व }
9	{ क } - { द }
9	{ : } - { ; }
9	{ न } - { ग }
9	{ ञ } - { र }
8	{ २ } - { ३ }
8	{ ॰ } - { * }
8	{ DEVANAGARI VOWEL SIGN U } - { DEVANAGARI VOWEL SIGN VOCALIC R }
8	{  } - { ए }
8	{ ॰ } - { ० }
8	{ झ } - { DEVANAGARI SIGN VIRAMA }
8	{ 4 } - {  }
8	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI VOWEL SIGN UU }
8	{ व } - { प }
8	{ श } - { ष }
8	{ र } - { व }
8	{ न } - { ज }
8	{ DEVANAGARI SIGN VIRAMA } - { व }
8	{ त } - { र }
8	{  } - { भ }
8	{  } - { DEVANAGARI VOWEL SIGN CANDRA O }
8	{ स } - { DEVANAGARI SIGN VIRAMA }
8	{ DEVANAGARI SIGN VIRAMA } - { य }
8	{ DEVANAGARI SIGN VIRAMA } - { द }
8	{ च } - { ध }
8	{ ग } - { व }
8	{ घ } - { व }
8	{ ब } - { द }
8	{ ङ } - { द }
8	{ ! } - {  }
8	{ । } - { DEVANAGARI VOWEL SIGN AA }
8	{ च } - { ष }
8	{ 6 } - {  }
8	{ र } - { क }
8	{ ळ } - { क }
8	{ ण } - { न }
8	{ DEVANAGARI SIGN ANUSVARA } - { DEVANAGARI SIGN VIRAMA }
8	{ ण } - { ज }
8	{ DEVANAGARI VOWEL SIGN CANDRA E } - { DEVANAGARI VOWEL SIGN E }
8	{ - } - { SPACE }
8	{ ल } - { म }
8	{ क } - { ग }
7	{ } } - {  }
7	{ ट } - { व }
7	{ DEVANAGARI SIGN VIRAMA } - { भ }
7	{ उ } - {  }
7	{ * } - { &#39; }
7	{ * } - { &#34; }
7	{ ख } - { न }
7	{  } - { ह }
7	{ ꣳ } - {  }
7	{ घ } - { ग }
7	{  } - { ण }
7	{  } - { १ }
7	{ ₹ } - { १ }
7	{ ३ } - { 3 }
7	{  } - { / }
7	{  } - { DEVANAGARI VOWEL SIGN AU }
7	{ र } - { श }
7	{ च } - { त }
7	{ DEVANAGARI SIGN VIRAMA } - { ध }
7	{ ध } - { ष }
7	{ + } - {  }
7	{ झ } - { इ }
7	{ द } - { र }
7	{ DEVANAGARI VOWEL SIGN O } - { DEVANAGARI VOWEL SIGN CANDRA O }
7	{ ट } - { ड }
7	{ ? } - {  }
7	{ 3 } - { 9 }
7	{ क } - { DEVANAGARI VOWEL SIGN UU }
7	{ &#34; } - { * }
7	{ ८ } - {  }
7	{ ८ } - { ९ }
7	{ &#34; } - { ” }
7	{ ९ } - { ६ }
7	{ क } - { च }
7	{ श } - { ञ }
7	{ इ } - {  }
7	{ क } - { ज }
7	{ { } - { [ }
7	{ } } - { ] }
7	{ ण } - { ख }
7	{ ७ } - { ० }
6	{ ॰ } - { • }
6	{ त } - { ह }
6	{ ॥ } - { । }
6	{ ऍ } - { ए }
6	{ ग } - { प }
6	{ ० } - {  }
6	{ प } - { ग }
6	{ _ } - {  }
6	{ ज } - { DEVANAGARI SIGN VIRAMA }
6	{ § } - {  }
6	{ ड } - { DEVANAGARI SIGN VIRAMA }
6	{ DEVANAGARI SIGN VIRAMA } - { क }
6	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI SIGN NUKTA }
6	{ ह } - { त }
6	{ ख } - { स }
6	{ ) } - { । }
6	{ ( } - { । }
6	{ क } - { फ }
6	{ श } - { ध }
6	{ य } - { DEVANAGARI VOWEL SIGN AA }
6	{ स } - { य }
6	{ { } - { ( }
6	{ ” } - {  }
6	{ द } - { ध }
6	{ व } - { DEVANAGARI SIGN VIRAMA }
6	{ ब } - { ग }
6	{ य } - { च }
6	{ DEVANAGARI SIGN VIRAMA } - { त }
6	{ र } - { द }
6	{ म } - { न }
6	{ य } - { र }
6	{ DEVANAGARI SIGN VIRAMA } - { च }
6	{ DEVANAGARI VOWEL SIGN O } - { ओ }
6	{ • } - {  }
6	{ ट } - { ठ }
6	{ झ } - { ङ }
6	{ श } - { त }
6	{ घ } - { ष }
6	{  } - { DEVANAGARI VOWEL SIGN II }
6	{ ळ } - { व }
6	{ च } - { थ }
6	{ १ } - {  }
6	{ : } - { . }
6	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI VOWEL SIGN O }
6	{ र } - { DEVANAGARI VOWEL SIGN UU }
6	{ * } - { “ }
6	{ य } - { ष }
6	{ ब } - { ज }
6	{  } - { ङ }
6	{ ऊ } - { उ }
6	{ ठ } - { DEVANAGARI VOWEL SIGN U }
6	{ ऑ } - {  }
6	{ ञ } - { उ }
6	{ । } - { SPACE }
6	{ DEVANAGARI SIGN NUKTA } - { व }
6	{  } - { ओ }
6	{ र } - { ट }
6	{  } - { „ }
6	{ DEVANAGARI SIGN VIRAMA } - { ख }
6	{ ‡ } - {  }
6	{ DEVANAGARI SIGN VISARGA } - { SPACE }
6	{ । } - { | }
6	{ क } - { त }
6	{ । } - { 1 }
6	{ DEVANAGARI VOWEL SIGN O } - { DEVANAGARI SIGN ANUSVARA }
6	{ ॰ } - {  }
6	{ क } - { ड }
6	{ अ } - { च }
5	{ ” } - { &#39; }
5	{ ५ } - { &#39; }
5	{ म } - { व }
5	{ DEVANAGARI VOWEL SIGN U } - { SPACE }
5	{ DEVANAGARI VOWEL SIGN I } - { DEVANAGARI SIGN VIRAMA }
5	{ ” } - { “ }
5	{ { } - {  }
5	{ ₹ } - {  }
5	{ ढ } - { ट }
5	{  } - { 6 }
5	{ ए } - { ग }
5	{ ७ } - { ५ }
5	{  } - { ३ }
5	{ ॥ } - {  }
5	{ / } - { SPACE }
5	{ ६ } - {  }
5	{ ३ } - {  }
5	{  } - { ) }
5	{ द } - { इ }
5	{ थ } - { क }
5	{ र } - { DEVANAGARI VOWEL SIGN E }
5	{ ल } - { DEVANAGARI SIGN VIRAMA }
5	{ त } - { DEVANAGARI SIGN VIRAMA }
5	{ म } - { ब }
5	{ ष } - { न }
5	{ त } - { ख }
5	{ ऋ } - { DEVANAGARI SIGN VIRAMA }
5	{  } - { : }
5	{ ट } - { ह }
5	{  } - { ॰ }
5	{ ड } - { र }
5	{ त } - { ज }
5	{ म } - { र }
5	{ स } - { भ }
5	{ त } - { DEVANAGARI VOWEL SIGN AA }
5	{ SPACE } - { . }
5	{ ष } - { ञ }
5	{ DEVANAGARI VOWEL SIGN AA } - { न }
5	{ ञ } - { श }
5	{ ष } - { ध }
5	{ SPACE } - { र }
5	{ ठ } - { र }
5	{  } - { ट }
5	{ त } - { च }
5	{ क } - { न }
5	{ % } - {  }
5	{ ड } - { ई }
5	{ ण } - { ब }
5	{ ड } - { ह }
5	{ ट } - { DEVANAGARI VOWEL SIGN VOCALIC R }
5	{ ल } - { ख }
5	{ ष } - { द }
5	{ 6 } - { 8 }
5	{ ण } - { ग }
5	{ भ } - { र }
5	{ ६ } - { ५ }
5	{ ~ } - {  }
5	{ प } - { स }
5	{ „ } - { , }
5	{ ब } - { क }
5	{ … } - {  }
5	{ DEVANAGARI SIGN NUKTA } - { ञ }
5	{ ल } - { व }
5	{ ॰ } - { १ }
5	{ ४ } - { ५ }
5	{ ध } - { ट }
5	{ झ } - { भ }
5	{  } - { उ }
4	{ ढ } - { ब }
4	{ श } - { च }
4	{ ज } - { व }
4	{ ख } - { ब }
4	{ = } - {  }
4	{ DEVANAGARI VOWEL SIGN UU } - { र }
4	{ ञ } - { त }
4	{ DEVANAGARI SIGN VIRAMA } - { SPACE }
4	{ DEVANAGARI SIGN VIRAMA } - { ड }
4	{ आ } - { SPACE }
4	{  } - { घ }
4	{ इ } - { ई }
4	{ य } - { ध }
4	{ ल } - { ज }
4	{ न } - { श }
4	{ १ } - { ९ }
4	{ ङ } - { ह }
4	{ ऑ } - { आ }
4	{ DEVANAGARI VOWEL SIGN I } - { DEVANAGARI SIGN ANUSVARA }
4	{  } - { • }
4	{ ज } - { ङ }
4	{ DEVANAGARI SIGN NUKTA } - { इ }
4	{ च } - { श }
4	{ न } - { ठ }
4	{ घ } - { य }
4	{ DEVANAGARI SIGN VIRAMA } - { थ }
4	{ DEVANAGARI SIGN VIRAMA } - { ब }
4	{ ए } - { प }
4	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI VOWEL SIGN E }
4	{ भ } - { DEVANAGARI SIGN VIRAMA }
4	{ थ } - { श }
4	{ घ } - { द }
4	{ ओ } - { आ }
4	{ र } - { DEVANAGARI SIGN ANUSVARA }
4	{ प } - { च }
4	{ क } - { स }
4	{ च } - { न }
4	{ न } - { द }
4	{ प } - { भ }
4	{ व } - { ष }
4	{ छ } - { ख }
4	{  } - { 1 }
4	{ DEVANAGARI SIGN VISARGA } - { DEVANAGARI SIGN VIRAMA }
4	{ घ } - { ब }
4	{ 8 } - { 4 }
4	{ ष } - { ब }
4	{ ९ } - {  }
4	{ अ } - { औ }
4	{ ओ } - { DEVANAGARI VOWEL SIGN O }
4	{ ड } - { DEVANAGARI VOWEL SIGN U }
4	{ DEVANAGARI SIGN ANUSVARA } - { DEVANAGARI VOWEL SIGN O }
4	{ DEVANAGARI SIGN VIRAMA } - { इ }
4	{ ञ } - { व }
4	{ थ } - { ब }
4	{ र } - { च }
4	{ श } - { द }
4	{ अ } - { श }
4	{ DEVANAGARI SIGN VIRAMA } - { ह }
4	{ प } - { ण }
4	{ ट } - { DEVANAGARI VOWEL SIGN U }
4	{ ए } - { ष }
4	{ १ } - { ५ }
4	{ DEVANAGARI VOWEL SIGN AU } - { DEVANAGARI VOWEL SIGN II }
4	{ ० } - { ॰ }
4	{ DEVANAGARI VOWEL SIGN I } - { DEVANAGARI VOWEL SIGN AA }
4	{  } - { &#34; }
4	{ 0 } - { ( }
4	{ DEVANAGARI SIGN ANUSVARA } - { र }
4	{ ग } - { य }
4	{ ण } - { य }
4	{ ८ } - { द }
4	{ ८ } - { ५ }
4	{ 8 } - { 6 }
4	{ ॰ } - { “ }
3	{ ₹ } - { श }
3	{ DEVANAGARI VOWEL SIGN AA } - { र }
3	{ ‡ } - { ३ }
3	{ भ } - { द }
3	{ - } - { • }
3	{ ङ } - { ज }
3	{ &#39; } - { ” }
3	{ ल } - { ग }
3	{ ७ } - { &#39; }
3	{ श } - { ग }
3	{ ७ } - { 9 }
3	{ थ } - { DEVANAGARI SIGN ANUSVARA }
3	{ DEVANAGARI VOWEL SIGN U } - { र }
3	{ ४ } - { ८ }
3	{ प } - { ५ }
3	{ र } - { प }
3	{ DEVANAGARI VOWEL SIGN AA } - { द }
3	{ | } - { ; }
3	{ &lt; } - {  }
3	{ ; } - { . }
3	{ य } - { DEVANAGARI SIGN VIRAMA }
3	{ च } - { क }
3	{ द } - { च }
3	{  } - { ९ }
3	{ आ } - { ज }
3	{ DEVANAGARI VOWEL SIGN AI } - { DEVANAGARI VOWEL SIGN AU }
3	{ 2 } - { ? }
3	{ ठ } - { द }
3	{ क } - { य }
3	{ ज } - { श }
3	{ DEVANAGARI VOWEL SIGN UU } - { न }
3	{ अ } - { ऑ }
3	{ ] } - { / }
3	{ ऍ } - { ऐ }
3	{ य } - { द }
3	{ छ } - { DEVANAGARI SIGN VIRAMA }
3	{ ष } - { त }
3	{ ठ } - { ड }
3	{ ठ } - { ह }
3	{ इ } - { ह }
3	{ DEVANAGARI SIGN NUKTA } - { र }
3	{ DEVANAGARI VOWEL SIGN I } - { न }
3	{ ल } - { DEVANAGARI VOWEL SIGN U }
3	{ DEVANAGARI VOWEL SIGN U } - { न }
3	{ ध } - { भ }
3	{ स } - { ग }
3	{ ज } - { त }
3	{ ञ } - { च }
3	{ ङ } - { ञ }
3	{ न } - { ह }
3	{ ६ } - { १ }
3	{ ६ } - { ९ }
3	{ ! } - { 1 }
3	{ DEVANAGARI SIGN VIRAMA } - { ष }
3	{ ग } - { ज }
3	{ औ } - { अ }
3	{ ) } - { 1 }
3	{ ञ } - { अ }
3	{ ङ } - { क }
3	{ „ } - {  }
3	{ ख } - { ज }
3	{ DEVANAGARI VOWEL SIGN E } - { र }
3	{ DEVANAGARI VOWEL SIGN U } - { ष }
3	{ 9 } - { ७ }
3	{ DEVANAGARI VOWEL SIGN AI } - { र }
3	{ 5 } - { 8 }
3	{ ई } - { इ }
3	{ ऋ } - {  }
3	{ DEVANAGARI VOWEL SIGN AA } - { व }
3	{ थ } - { ष }
3	{ १ } - { श }
3	{ DEVANAGARI VOWEL SIGN AU } - { DEVANAGARI VOWEL SIGN AI }
3	{ अ } - { भ }
3	{ प } - { DEVANAGARI SIGN VIRAMA }
3	{ स } - { ज }
3	{ ल } - { क }
3	{ 3 } - { 8 }
3	{ 9 } - { 8 }
3	{ ] } - { 1 }
3	{ ज } - { र }
3	{ ष } - { ड }
3	{ ऐ } - { ऍ }
3	{ र } - { ड }
3	{ र } - { DEVANAGARI VOWEL SIGN AA }
3	{ ब } - { म }
3	{ ऊ } - {  }
3	{ ख } - { च }
3	{ श } - { व }
3	{ र } - { भ }
3	{ ब } - { ख }
3	{ आ } - { ख }
3	{ SPACE } - { ब }
3	{ श } - { इ }
3	{ म } - { DEVANAGARI SIGN VIRAMA }
3	{ ञ } - { न }
3	{ _ } - { - }
3	{ र } - { DEVANAGARI VOWEL SIGN O }
3	{  } - { 0 }
3	{ 8 } - { 5 }
3	{ ब } - { DEVANAGARI SIGN VIRAMA }
3	{  } - { - }
3	{ ळ } - {  }
3	{ ६ } - { ध }
3	{ उ } - { ड }
3	{ ऊ } - { अ }
3	{ ठ } - { त }
3	{ त } - { य }
3	{ त } - { ष }
3	{ _ } - { SPACE }
3	{ इ } - { ङ }
3	{ DEVANAGARI VOWEL SIGN U } - { त }
3	{ म } - { च }
3	{ त } - { ञ }
3	{ द } - { ब }
3	{ प } - { थ }
3	{ ( } - { / }
3	{ ₹ } - { ह }
3	{ ए } - { श }
3	{ ] } - { । }
3	{ DEVANAGARI VOWEL SIGN E } - { DEVANAGARI VOWEL SIGN O }
3	{ ल } - { DEVANAGARI VOWEL SIGN AA }
3	{ } } - { | }
3	{ DEVANAGARI SIGN VIRAMA } - { DEVANAGARI VOWEL SIGN AI }
3	{ { } - { | }
3	{ र } - { त }
3	{ ॰ } - { . }
3	{ ३ } - { १ }
3	{ न } - { - }
3	{ य } - { । }
3	{ DEVANAGARI SIGN VIRAMA } - { । }
3	{ DEVANAGARI VOWEL SIGN E } - { DEVANAGARI SIGN VIRAMA }
3	{ + } - { 4 }
3	{ त } - { क }
3	{ ण } - { म }
3	{ छ } - { घ }
3	{ DEVANAGARI SIGN VIRAMA } - { ल }
3	{ DEVANAGARI VOWEL SIGN I } - { DEVANAGARI VOWEL SIGN AI }
3	{ ओ } - { अ }
3	{ ण } - { DEVANAGARI SIGN VIRAMA }
3	{ ल } - { ह }
3	{ ह } - { र }
3	{ ड } - { ख }
3	{ स } - { - }
2	{ ञ } - { ख }
2	{ ष } - { DEVANAGARI SIGN VIRAMA }
2	{ उ } - { र }
